Symbol,Name,Open,High,Low,Close,Volume
AAPL,Apple Inc.,189.76,191.45,187.8,190.0,12567890
MSFT,Microsoft Corp.,402.11,405.5,399.3,403.25,9876543
GOOGL,Alphabet Inc.,1412.23,1425.0,1400.75,1418.5,6543210
AMZN,Amazon.com Inc.,3325.12,3350.75,3300.5,3340.1,4321098
TSLA,Tesla Inc.,625.8,630.45,615.25,620.0,8765432
META,Meta Platforms Inc.,288.5,290.75,285.2,289.0,5678901
NFLX,Netflix Inc.,445.3,450.0,440.8,448.5,3456789
NVDA,NVIDIA Corp.,620.1,625.5,610.75,618.9,2345678
AMD,Advanced Micro Devices,110.25,112.5,108.75,111.2,7654321
INTC,Intel Corp.,43.8,44.5,42.9,43.5,987654
